CGPA,Python,SQL,ML,PowerBI,Java,Cloud,Cybersecurity,Communication,Projects,Internship,Interest,Career
6.8,1,0,0,0,0,1,0,1,2,0,Cybersecurity,Cybersecurity Analyst
8.4,1,0,1,1,0,1,0,0,3,1,AI,ML Engineer
7.8,1,0,1,0,1,1,0,1,2,0,AI,ML Engineer
6.7,0,0,0,1,1,0,0,1,3,0,Business,BI Developer
7.6,1,1,0,1,1,0,0,1,2,1,Business,Data Analyst
7.7,1,0,1,0,1,1,0,1,4,0,AI,ML Engineer
9.3,1,0,1,0,0,1,0,1,3,1,AI,ML Engineer
7.3,1,0,0,0,1,0,0,1,3,0,Software,Software Developer
7.6,1,0,0,0,0,0,1,0,4,1,Cybersecurity,Cybersecurity Analyst
8.3,1,0,0,0,1,0,0,1,1,1,Software,Software Developer
9.2,1,1,1,0,0,0,0,1,3,0,AI,Data Scientist
9.4,1,1,0,0,0,0,0,1,3,0,AI,Data Scientist
7.6,1,0,1,0,0,1,0,1,3,1,AI,ML Engineer
9.0,0,1,0,1,0,0,1,1,4,1,Business,BI Developer
6.7,0,0,0,0,0,0,1,0,1,1,Cybersecurity,Cybersecurity Analyst
7.1,1,1,0,1,0,1,0,1,4,0,Business,BI Developer
6.8,1,0,0,0,0,0,1,1,3,0,Cybersecurity,Cybersecurity Analyst
8.5,0,1,0,1,0,0,0,0,1,0,Business,BI Developer
7.8,1,1,1,0,0,0,0,0,5,1,AI,Data Scientist
6.9,0,1,0,0,0,0,0,1,2,0,Business,BI Developer
7.4,1,0,1,0,0,1,0,0,3,0,AI,ML Engineer
6.2,1,0,0,0,1,0,0,1,3,0,Software,Software Developer
7.5,1,1,1,1,0,0,0,0,2,0,AI,Data Scientist
8.1,1,0,0,0,1,0,0,0,5,1,Software,Software Developer
8.0,1,1,0,0,0,0,1,1,2,1,Business,Data Analyst
8.4,1,1,1,0,0,0,0,1,2,1,Business,Data Analyst
8.0,0,1,0,1,1,0,0,0,4,0,Business,Data Analyst
6.8,1,0,0,0,1,0,1,1,2,0,Cybersecurity,Cybersecurity Analyst
8.5,0,1,0,1,0,0,0,0,3,0,Business,BI Developer
8.6,1,1,0,0,0,0,0,0,2,0,Business,Data Analyst
9.1,1,0,0,0,1,0,1,1,1,0,Cybersecurity,Cybersecurity Analyst
7.6,1,1,1,1,0,0,0,0,4,0,Business,Data Analyst
7.0,1,0,0,0,0,0,1,1,1,1,Cybersecurity,Cybersecurity Analyst
7.3,1,0,0,0,0,0,1,0,2,1,Cybersecurity,Cybersecurity Analyst
7.2,1,1,0,1,0,0,0,1,3,1,Business,Data Analyst
7.8,1,1,0,0,0,0,0,1,1,0,Business,Data Analyst
8.4,1,1,1,0,0,0,0,0,5,1,AI,Data Scientist
7.7,1,0,1,0,0,1,0,1,2,0,AI,ML Engineer
8.0,0,1,0,1,0,0,0,1,4,0,Business,BI Developer
7.1,1,0,0,1,0,0,1,1,1,1,Cybersecurity,Cybersecurity Analyst
7.4,1,0,1,0,0,1,0,1,4,1,AI,ML Engineer
7.1,1,0,0,0,1,0,0,0,3,1,Software,Software Developer
8.4,0,0,1,0,0,1,0,1,5,1,AI,ML Engineer
7.6,0,0,0,0,1,0,0,1,5,0,Software,Software Developer
8.4,1,0,1,1,0,0,0,1,3,1,Business,Data Analyst
6.6,1,0,0,0,0,0,1,0,2,0,Cybersecurity,Cybersecurity Analyst
8.4,1,1,1,1,0,0,0,0,1,0,Business,Data Analyst
7.0,1,0,0,0,0,0,1,0,1,1,Cybersecurity,Cybersecurity Analyst
6.7,1,1,0,1,0,0,0,1,1,1,Business,Data Analyst
7.9,1,0,0,0,0,1,1,1,4,1,Cybersecurity,Cybersecurity Analyst
9.0,1,0,1,0,0,1,0,1,4,0,AI,ML Engineer
7.9,1,1,0,1,0,0,0,0,1,0,Business,Data Analyst
8.1,1,1,1,0,0,0,0,1,3,1,AI,Data Scientist
7.2,0,1,0,1,0,0,0,1,2,0,Business,BI Developer
8.3,1,1,0,1,0,1,1,1,1,0,Business,Data Analyst
8.2,1,1,0,1,0,1,0,0,4,0,Business,Data Analyst
6.8,1,1,1,1,0,0,0,0,4,1,Business,BI Developer
8.6,1,1,1,0,0,0,0,1,3,1,AI,Data Scientist
6.8,1,0,0,1,1,0,1,0,2,1,Cybersecurity,Cybersecurity Analyst
6.6,0,1,0,1,0,0,0,1,3,1,Business,Data Analyst
8.6,0,1,1,0,0,0,0,0,4,0,AI,Data Scientist
7.3,1,0,0,0,0,1,1,1,3,1,Cybersecurity,Cybersecurity Analyst
8.8,1,0,0,0,0,0,1,0,3,0,Cybersecurity,Cybersecurity Analyst
8.9,0,1,0,1,0,0,0,1,3,1,Business,BI Developer
6.1,1,0,0,0,1,0,0,0,3,1,Software,Software Developer
6.6,0,1,0,1,0,0,0,1,4,1,Business,BI Developer
8.1,1,0,1,0,0,0,1,0,2,1,Cybersecurity,Cybersecurity Analyst
8.4,1,0,1,0,0,1,0,1,4,1,AI,ML Engineer
9.2,1,0,1,0,0,1,0,1,5,1,AI,ML Engineer
8.7,0,1,0,1,0,0,0,1,4,1,Business,BI Developer
7.1,0,1,0,1,0,0,0,1,1,1,Business,BI Developer
8.9,0,1,0,1,0,0,0,0,3,0,Business,BI Developer
7.5,1,0,1,0,0,1,0,1,4,1,AI,ML Engineer
8.7,0,1,0,1,0,1,0,0,1,0,Business,BI Developer
8.4,1,0,1,0,0,0,0,1,2,0,AI,Data Scientist
7.7,1,0,1,0,0,1,0,0,5,0,AI,ML Engineer
8.8,0,1,0,1,0,0,0,0,1,1,Business,BI Developer
8.6,0,1,0,1,0,0,0,0,2,1,Business,BI Developer
8.6,1,0,0,0,1,0,0,0,5,1,Software,Software Developer
8.2,1,1,0,1,1,0,0,0,1,0,Business,Data Analyst
7.7,1,0,1,0,0,1,0,1,4,0,AI,ML Engineer
7.8,0,1,1,0,0,0,0,0,5,1,AI,Data Scientist
8.6,0,1,0,1,0,0,0,1,1,0,Business,BI Developer
8.8,0,1,0,1,1,0,0,1,4,0,Business,BI Developer
7.4,0,1,0,1,0,0,0,1,2,1,Business,BI Developer
8.9,0,1,0,1,0,0,0,1,1,1,Business,BI Developer
6.7,0,1,0,1,1,0,0,0,1,0,Business,BI Developer
9.1,1,0,1,0,0,1,0,0,4,0,AI,ML Engineer
8.8,1,1,1,1,0,0,0,0,3,0,AI,Data Scientist
9.0,1,1,1,0,1,0,0,1,5,1,AI,Data Scientist
6.9,1,0,0,0,1,0,0,0,1,1,Software,Software Developer
7.4,1,0,1,0,1,1,0,1,4,1,AI,ML Engineer
8.9,1,0,0,0,0,0,1,0,4,1,Cybersecurity,Cybersecurity Analyst
7.4,0,0,0,1,0,0,1,0,4,0,Business,Data Analyst
7.7,1,0,0,0,0,0,0,0,4,1,Software,Software Developer
8.7,1,1,1,0,0,0,0,0,3,1,AI,Data Scientist
8.9,0,0,0,0,1,0,0,0,5,1,Software,Software Developer
7.6,1,0,0,0,0,0,1,0,1,0,Cybersecurity,Cybersecurity Analyst
7.8,1,1,1,0,1,0,0,0,2,0,Software,Software Developer
9.0,1,0,1,0,0,1,0,0,4,1,AI,ML Engineer
7.5,1,1,1,0,0,0,0,1,3,0,AI,Data Scientist
8.4,1,1,0,0,0,1,0,1,2,1,AI,ML Engineer
8.2,0,0,0,0,0,0,0,1,1,1,Cybersecurity,Cybersecurity Analyst
8.0,1,1,1,0,1,0,0,1,2,1,AI,Data Scientist
9.3,1,0,1,0,0,1,0,1,4,0,AI,ML Engineer
7.8,1,1,0,0,0,1,1,1,3,1,Cybersecurity,Cybersecurity Analyst
7.7,1,0,0,1,0,0,0,0,1,1,Business,Data Analyst
8.9,1,0,0,1,1,0,0,0,4,0,Software,Software Developer
6.7,1,0,0,0,0,0,1,0,1,0,Cybersecurity,Cybersecurity Analyst
8.2,1,1,0,1,0,0,0,0,3,0,Business,Data Analyst
8.0,1,0,1,0,0,1,0,0,4,1,AI,ML Engineer
8.5,0,1,0,1,0,0,0,0,4,1,Business,Data Analyst
7.5,1,0,1,0,0,1,0,0,2,1,AI,ML Engineer
8.9,1,0,1,0,0,1,0,0,5,1,AI,ML Engineer
8.9,1,1,0,1,0,0,0,1,2,1,Business,Data Analyst
9.1,1,0,1,0,0,1,0,0,4,0,AI,ML Engineer
7.9,1,0,1,0,1,0,0,0,5,0,AI,ML Engineer
8.1,0,0,1,0,0,1,0,0,4,0,AI,ML Engineer
8.2,0,1,1,1,0,0,0,0,4,1,Business,BI Developer
6.8,0,1,0,1,1,0,0,1,2,1,Business,BI Developer
6.0,1,0,0,0,1,1,0,0,2,1,Software,Software Developer
9.4,0,1,1,0,0,1,0,0,5,1,AI,Data Scientist
8.2,1,0,0,0,0,0,1,1,2,0,Cybersecurity,Cybersecurity Analyst
9.1,1,1,1,1,0,1,0,0,5,0,AI,ML Engineer
7.4,1,0,0,0,1,0,0,0,2,1,Software,Software Developer
7.7,1,0,0,0,0,0,0,1,3,0,Cybersecurity,Cybersecurity Analyst
9.0,1,1,0,0,1,0,0,0,5,1,Software,Software Developer
7.6,1,1,1,1,0,0,0,1,4,1,Business,Data Analyst
9.4,1,0,1,0,0,0,0,0,5,0,AI,ML Engineer
8.9,0,1,0,1,0,0,0,1,4,0,Business,BI Developer
7.8,0,1,0,1,0,0,0,0,3,1,Business,BI Developer
8.4,1,1,1,0,0,0,0,1,2,1,AI,Data Scientist
8.2,1,0,0,0,0,0,1,1,2,0,Cybersecurity,Cybersecurity Analyst
6.4,1,0,0,0,1,0,0,0,1,1,Software,Software Developer
8.1,1,1,0,1,0,0,0,1,4,1,Business,Data Analyst
9.2,1,1,1,0,0,0,1,0,4,0,AI,Data Scientist
8.7,1,1,1,0,0,1,0,1,3,1,AI,ML Engineer
7.0,0,0,0,0,1,0,0,0,1,0,Software,Software Developer
8.7,0,1,0,1,0,0,0,1,3,1,Business,BI Developer
7.0,0,1,0,1,0,0,0,0,3,1,Business,BI Developer
6.8,1,1,0,1,0,0,0,1,2,0,Business,BI Developer
8.8,1,1,0,1,1,0,0,1,2,0,Business,Data Analyst
7.8,1,0,1,0,0,0,0,1,2,0,AI,ML Engineer
9.2,0,1,1,0,0,1,0,1,5,1,AI,ML Engineer
6.8,1,0,0,0,1,0,0,0,2,0,Software,Software Developer
6.1,1,0,0,0,1,0,0,0,2,1,Software,Software Developer
9.0,0,1,0,1,0,0,0,1,3,1,Business,BI Developer
8.9,1,0,0,0,0,0,1,0,4,1,Cybersecurity,Cybersecurity Analyst
8.4,0,0,0,1,0,0,1,1,2,0,Cybersecurity,Cybersecurity Analyst
7.8,0,1,0,1,0,0,0,1,1,0,Business,BI Developer
7.0,1,0,0,0,1,0,0,1,3,1,Software,Software Developer
8.8,1,0,1,0,0,1,0,1,4,1,AI,ML Engineer
8.5,0,1,0,1,0,0,0,0,3,0,Business,BI Developer
